original_icd_code,original_icd_version,canonical_icd_code,canonical_icd_version,long_title
C081,10,C081,10,Malignant neoplasm of sublingual gland
1421,9,C080,10,Malignant neoplasm of submandibular gland
C080,10,C080,10,Malignant neoplasm of submandibular gland
1470,9,C110,10,Malignant neoplasm of superior wall of nasopharynx
C110,10,C110,10,Malignant neoplasm of superior wall of nasopharynx
1611,9,C321,10,Malignant neoplasm of supraglottis
C321,10,C321,10,Malignant neoplasm of supraglottis
1572,9,C252,10,Malignant neoplasm of tail of pancreas
C252,10,C252,10,Malignant neoplasm of tail of pancreas
1912,9,C712,10,Malignant neoplasm of temporal lobe
C712,10,C712,10,Malignant neoplasm of temporal lobe
1951,9,C761,10,Malignant neoplasm of thorax
C761,10,C761,10,Malignant neoplasm of thorax
1640,9,C37,10,Malignant neoplasm of thymus
C37,10,C37,10,Malignant neoplasm of thymus
193,9,C73,10,Malignant neoplasm of thyroid gland
C73,10,C73,10,Malignant neoplasm of thyroid gland
1419,9,C029,10,"Malignant neoplasm of tongue, unspecified"
C029,10,C029,10,"Malignant neoplasm of tongue, unspecified"
1460,9,C09,10,Malignant neoplasm of tonsil
C09,10,C09,10,Malignant neoplasm of tonsil
1461,9,C090,10,Malignant neoplasm of tonsillar fossa
C090,10,C090,10,Malignant neoplasm of tonsillar fossa
1620,9,C33,10,Malignant neoplasm of trachea
C33,10,C33,10,Malignant neoplasm of trachea
1531,9,C184,10,Malignant neoplasm of transverse colon
C184,10,C184,10,Malignant neoplasm of transverse colon
1860,9,C620,10,Malignant neoplasm of undescended testis
C620,10,C620,10,Malignant neoplasm of undescended testis
1430,9,C030,10,Malignant neoplasm of upper gum
C030,10,C030,10,Malignant neoplasm of upper gum
1954,9,C764,10,Malignant neoplasm of upper limb
C764,10,C764,10,Malignant neoplasm of upper limb
1403,9,C003,10,"Malignant neoplasm of upper lip, inner aspect"
C003,10,C003,10,"Malignant neoplasm of upper lip, inner aspect"
1623,9,C341,10,"Malignant neoplasm of upper lobe, bronchus or lung"
C341,10,C341,10,"Malignant neoplasm of upper lobe, bronchus or lung"
1650,9,C390,10,"Malignant neoplasm of upper respiratory tract, part unspecified"
C390,10,C390,10,"Malignant neoplasm of upper respiratory tract, part unspecified"
1503,9,C153,10,Malignant neoplasm of upper third of esophagus
C153,10,C153,10,Malignant neoplasm of upper third of esophagus
1887,9,C677,10,Malignant neoplasm of urachus
C677,10,C677,10,Malignant neoplasm of urachus
1892,9,C66,10,Malignant neoplasm of ureter
C66,10,C66,10,Malignant neoplasm of ureter
1886,9,C676,10,Malignant neoplasm of ureteric orifice
C676,10,C676,10,Malignant neoplasm of ureteric orifice
1893,9,C680,10,Malignant neoplasm of urethra
C680,10,C680,10,Malignant neoplasm of urethra
179,9,C55,10,"Malignant neoplasm of uterus, part unspecified"
C55,10,C55,10,"Malignant neoplasm of uterus, part unspecified"
1454,9,C052,10,Malignant neoplasm of uvula
C052,10,C052,10,Malignant neoplasm of uvula
1840,9,C52,10,Malignant neoplasm of vagina
C52,10,C52,10,Malignant neoplasm of vagina
1413,9,C022,10,Malignant neoplasm of ventral surface of tongue
C022,10,C022,10,Malignant neoplasm of ventral surface of tongue
1451,9,C061,10,Malignant neoplasm of vestibule of mouth
C061,10,C061,10,Malignant neoplasm of vestibule of mouth
1491,9,C142,10,Malignant neoplasm of waldeyer's ring
38014,9,H602,10,Malignant otitis externa
H602,10,H602,10,Malignant otitis externa
51181,9,J910,10,Malignant pleural effusion
J910,10,J910,10,Malignant pleural effusion
7361,9,M2001,10,Mallet finger
M2001,10,M2001,10,Mallet finger
52421,9,M26211,10,"Malocclusion, Angle's class I"
M26211,10,M26211,10,"Malocclusion, Angle's class I"
52422,9,M26212,10,"Malocclusion, Angle's class II"
M26212,10,M26212,10,"Malocclusion, Angle's class II"
52423,9,M26213,10,"Malocclusion, Angle's class III"
M26213,10,M26213,10,"Malocclusion, Angle's class III"
5244,9,M264,10,"Malocclusion, unspecified"
M264,10,M264,10,"Malocclusion, unspecified"
6216,9,N854,10,Malposition of uterus
N854,10,N854,10,Malposition of uterus
6104,9,N604,10,Mammary duct ectasia
N604,10,N604,10,Mammary duct ectasia
20043,9,C8313,10,"Mantle cell lymphoma, intra-abdominal lymph nodes"
C8313,10,C8313,10,"Mantle cell lymphoma, intra-abdominal lymph nodes"
20046,9,C8316,10,"Mantle cell lymphoma, intrapelvic lymph nodes"
C8316,10,C8316,10,"Mantle cell lymphoma, intrapelvic lymph nodes"
20042,9,C8312,10,"Mantle cell lymphoma, intrathoracic lymph nodes"
C8312,10,C8312,10,"Mantle cell lymphoma, intrathoracic lymph nodes"
20044,9,C8314,10,"Mantle cell lymphoma, lymph nodes of axilla and upper limb"
C8314,10,C8314,10,"Mantle cell lymphoma, lymph nodes of axilla and upper limb"
20041,9,C8311,10,"Mantle cell lymphoma, lymph nodes of head, face, and neck"
C8311,10,C8311,10,"Mantle cell lymphoma, lymph nodes of head, face, and neck"
20045,9,C8315,10,"Mantle cell lymphoma, lymph nodes of inguinal region and lower limb"
C8315,10,C8315,10,"Mantle cell lymphoma, lymph nodes of inguinal region and lower limb"
20048,9,C8318,10,"Mantle cell lymphoma, lymph nodes of multiple sites"
C8318,10,C8318,10,"Mantle cell lymphoma, lymph nodes of multiple sites"
20047,9,C8317,10,"Mantle cell lymphoma, spleen"
C8317,10,C8317,10,"Mantle cell lymphoma, spleen"
37001,9,H1604,10,Marginal corneal ulcer
H1604,10,H1604,10,Marginal corneal ulcer
61171,9,N644,10,Mastodynia
N644,10,N644,10,Mastodynia
O345,10,O345,10,Maternal care for other abnormalities of gravid uterus
O3459,10,O345,10,Maternal care for other abnormalities of gravid uterus
O361,10,O361,10,Maternal care for other isoimmunization
O3619,10,O361,10,Maternal care for other isoimmunization
O368,10,O368,10,Maternal care for other specified fetal problems
O3689,10,O368,10,Maternal care for other specified fetal problems
3151,9,F812,10,Mathematics disorder
F812,10,F812,10,Mathematics disorder
37422,9,H0222,10,Mechanical lagophthalmos
H0222,10,H0222,10,Mechanical lagophthalmos
37860,9,H5060,10,"Mechanical strabismus, unspecified"
H5060,10,H5060,10,"Mechanical strabismus, unspecified"
77012,9,P2401,10,Meconium aspiration with respiratory symptoms
P2401,10,P2401,10,Meconium aspiration with respiratory symptoms
77011,9,P2400,10,Meconium aspiration without respiratory symptoms
P2400,10,P2400,10,Meconium aspiration without respiratory symptoms
76384,9,P0382,10,Meconium passage during delivery
P0382,10,P0382,10,Meconium passage during delivery
77984,9,P9683,10,Meconium staining
P9683,10,P9683,10,Meconium staining
72631,9,M770,10,Medial epicondylitis
M770,10,M770,10,Medial epicondylitis
5292,9,K142,10,Median rhomboid glossitis
K142,10,K142,10,Median rhomboid glossitis
5192,9,J9851,10,Mediastinitis
J9851,10,J9851,10,Mediastinitis
75316,9,Q615,10,Medullary cystic kidney
Q615,10,Q615,10,Medullary cystic kidney
7816,9,R291,10,Meningismus
R291,10,R291,10,Meningismus
3229,9,G039,10,"Meningitis, unspecified"
G039,10,G039,10,"Meningitis, unspecified"
03640,9,A3950,10,"Meningococcal carditis, unspecified"
A3950,10,A3950,10,"Meningococcal carditis, unspecified"
0361,9,A3981,10,Meningococcal encephalitis
A3981,10,A3981,10,Meningococcal encephalitis
03642,9,A3951,10,Meningococcal endocarditis
A3951,10,A3951,10,Meningococcal endocarditis
0369,9,A399,10,"Meningococcal infection, unspecified"
A399,10,A399,10,"Meningococcal infection, unspecified"
0360,9,A390,10,Meningococcal meningitis
A390,10,A390,10,Meningococcal meningitis
03643,9,A3952,10,Meningococcal myocarditis
A3952,10,A3952,10,Meningococcal myocarditis
03641,9,A3953,10,Meningococcal pericarditis
A3953,10,A3953,10,Meningococcal pericarditis
3551,9,G571,10,Meralgia paresthetica
G571,10,G571,10,Meralgia paresthetica
34831,9,G9341,10,Metabolic encephalopathy
G9341,10,G9341,10,Metabolic encephalopathy
2897,9,D74,10,Methemoglobinemia
D74,10,D74,10,Methemoglobinemia
74482,9,Q187,10,Microcheilia
Q187,10,Q187,10,Microcheilia
74484,9,Q185,10,Microstomia
Q185,10,Q185,10,Microstomia
74423,9,Q172,10,Microtia
Q172,10,Q172,10,Microtia
317,9,F70,10,Mild intellectual disabilities
F70,10,F70,10,Mild intellectual disabilities
E0001,9,Y991,10,Military activity
Y991,10,Y991,10,Military activity
Y376,10,Y376,10,Military operations involving biological weapons
Y376X,10,Y376,10,Military operations involving biological weapons
Y377,10,Y377,10,Military operations involving chemical weapons and other forms of unconventional warfare
Y377X,10,Y377,10,Military operations involving chemical weapons and other forms of unconventional warfare
Y372,10,Y372,10,Military operations involving other explosions and fragments
Y3729,10,Y372,10,Military operations involving other explosions and fragments
52521,9,K0821,10,Minimal atrophy of the mandible
K0821,10,K0821,10,Minimal atrophy of the mandible
52871,9,K1322,10,Minimal keratinized residual ridge mucosa
K1322,10,K1322,10,Minimal keratinized residual ridge mucosa
37101,9,H1781,10,Minor opacity of cornea
H1781,10,H1781,10,Minor opacity of cornea
E8760,9,Y650,10,Mismatched blood in transfusion
Y650,10,Y650,10,Mismatched blood in transfusion
632,9,O021,10,Missed abortion
O021,10,O021,10,Missed abortion
6252,9,N940,10,Mittelschmerz
N940,10,N940,10,Mittelschmerz
2722,9,E782,10,Mixed hyperlipidemia
E782,10,E782,10,Mixed hyperlipidemia
1033,9,A673,10,Mixed lesions of pinta
A673,10,A673,10,Mixed lesions of pinta
31532,9,F802,10,Mixed receptive-expressive language disorder
F802,10,F802,10,Mixed receptive-expressive language disorder
52522,9,K0822,10,Moderate atrophy of the mandible
K0822,10,K0822,10,Moderate atrophy of the mandible
52525,9,K0825,10,Moderate atrophy of the maxilla
K0825,10,K0825,10,Moderate atrophy of the maxilla
3180,9,F71,10,Moderate intellectual disabilities
F71,10,F71,10,Moderate intellectual disabilities
0780,9,B081,10,Molluscum contagiosum
B081,10,B081,10,Molluscum contagiosum
05901,9,B04,10,Monkeypox
B04,10,B04,10,Monkeypox
37801,9,H5001,10,Monocular esotropia
H5001,10,H5001,10,Monocular esotropia
37802,9,H5002,10,Monocular esotropia with A pattern
H5002,10,H5002,10,Monocular esotropia with A pattern
37803,9,H5003,10,Monocular esotropia with V pattern
H5003,10,H5003,10,Monocular esotropia with V pattern
37804,9,H5004,10,Monocular esotropia with other noncomitancies
H5004,10,H5004,10,Monocular esotropia with other noncomitancies
37811,9,H5011,10,Monocular exotropia
H5011,10,H5011,10,Monocular exotropia
37812,9,H5012,10,Monocular exotropia with A pattern
H5012,10,H5012,10,Monocular exotropia with A pattern
37813,9,H5013,10,Monocular exotropia with V pattern
H5013,10,H5013,10,Monocular exotropia with V pattern
37814,9,H5014,10,Monocular exotropia with other noncomitancies
H5014,10,H5014,10,Monocular exotropia with other noncomitancies
28863,9,D72821,10,Monocytosis (symptomatic)
D72821,10,D72821,10,Monocytosis (symptomatic)
37834,9,H5042,10,Monofixation syndrome
H5042,10,H5042,10,Monofixation syndrome
3545,9,G587,10,Mononeuritis multiplex
G587,10,G587,10,Mononeuritis multiplex
34430,9,G8310,10,Monoplegia of lower limb affecting unspecified side
G8310,10,G8310,10,Monoplegia of lower limb affecting unspecified side
34440,9,G8320,10,Monoplegia of upper limb affecting unspecified side
G8320,10,G8320,10,Monoplegia of upper limb affecting unspecified side
0629,9,A839,10,"Mosquito-borne viral encephalitis, unspecified"
A839,10,A839,10,"Mosquito-borne viral encephalitis, unspecified"
9946,9,T753,10,Motion sickness
T753,10,T753,10,Motion sickness
V298,10,V298,10,Motorcycle rider (driver) (passenger) injured in other specified transport accidents
V2988,10,V298,10,Motorcycle rider (driver) (passenger) injured in other specified transport accidents
5203,9,K003,10,Mottled teeth
K003,10,K003,10,Mottled teeth
4375,9,I675,10,Moyamoya disease
I675,10,I675,10,Moyamoya disease
5276,9,K116,10,Mucocele of salivary gland
K116,10,K116,10,Mucocele of salivary gland
4911,9,J411,10,Mucopurulent chronic bronchitis
J411,10,J411,10,Mucopurulent chronic bronchitis
38331,9,H9513,10,Mucosal cyst of postmastoidectomy cavity
H9513,10,H9513,10,Mucosal cyst of postmastoidectomy cavity
36133,9,H3333,10,Multiple defects of retina without detachment
H3333,10,H3333,10,Multiple defects of retina without detachment
25801,9,E3121,10,Multiple endocrine neoplasia [MEN] type I
E3121,10,E3121,10,Multiple endocrine neoplasia [MEN] type I
25802,9,E3122,10,Multiple endocrine neoplasia [MEN] type IIA
E3122,10,E3122,10,Multiple endocrine neoplasia [MEN] type IIA
25803,9,E3123,10,Multiple endocrine neoplasia [MEN] type IIB
E3123,10,E3123,10,Multiple endocrine neoplasia [MEN] type IIB
38424,9,H7281,10,Multiple perforations of tympanic membrane
H7281,10,H7281,10,Multiple perforations of tympanic membrane
340,9,G35,10,Multiple sclerosis
G35,10,G35,10,Multiple sclerosis
0722,9,B262,10,Mumps encephalitis
B262,10,B262,10,Mumps encephalitis
07271,9,B2681,10,Mumps hepatitis
B2681,10,B2681,10,Mumps hepatitis
0721,9,B261,10,Mumps meningitis
B261,10,B261,10,Mumps meningitis
0720,9,B260,10,Mumps orchitis
B260,10,B260,10,Mumps orchitis
0723,9,B263,10,Mumps pancreatitis
B263,10,B263,10,Mumps pancreatitis
07272,9,B2684,10,Mumps polyneuropathy
B2684,10,B2684,10,Mumps polyneuropathy
72887,9,M6281,10,Muscle weakness (generalized)
M6281,10,M6281,10,Muscle weakness (generalized)
35801,9,G7001,10,Myasthenia gravis with (acute) exacerbation
G7001,10,G7001,10,Myasthenia gravis with (acute) exacerbation
35800,9,G7000,10,Myasthenia gravis without (acute) exacerbation
G7000,10,G7000,10,Myasthenia gravis without (acute) exacerbation
20213,9,C8403,10,"Mycosis fungoides, intra-abdominal lymph nodes"
C8403,10,C8403,10,"Mycosis fungoides, intra-abdominal lymph nodes"
20216,9,C8406,10,"Mycosis fungoides, intrapelvic lymph nodes"
C8406,10,C8406,10,"Mycosis fungoides, intrapelvic lymph nodes"
20212,9,C8402,10,"Mycosis fungoides, intrathoracic lymph nodes"
C8402,10,C8402,10,"Mycosis fungoides, intrathoracic lymph nodes"
20214,9,C8404,10,"Mycosis fungoides, lymph nodes of axilla and upper limb"
C8404,10,C8404,10,"Mycosis fungoides, lymph nodes of axilla and upper limb"
20211,9,C8401,10,"Mycosis fungoides, lymph nodes of head, face, and neck"
C8401,10,C8401,10,"Mycosis fungoides, lymph nodes of head, face, and neck"
20215,9,C8405,10,"Mycosis fungoides, lymph nodes of inguinal region and lower limb"
C8405,10,C8405,10,"Mycosis fungoides, lymph nodes of inguinal region and lower limb"
20218,9,C8408,10,"Mycosis fungoides, lymph nodes of multiple sites"
C8408,10,C8408,10,"Mycosis fungoides, lymph nodes of multiple sites"
20217,9,C8407,10,"Mycosis fungoides, spleen"
C8407,10,C8407,10,"Mycosis fungoides, spleen"
37005,9,H1606,10,Mycotic corneal ulcer
H1606,10,H1606,10,Mycotic corneal ulcer
23875,9,D469,10,"Myelodysplastic syndrome, unspecified"
D469,10,D469,10,"Myelodysplastic syndrome, unspecified"
28983,9,D7581,10,Myelofibrosis
D7581,10,D7581,10,Myelofibrosis
20532,9,C9232,10,"Myeloid sarcoma, in relapse"
C9232,10,C9232,10,"Myeloid sarcoma, in relapse"
20531,9,C9231,10,"Myeloid sarcoma, in remission"
C9231,10,C9231,10,"Myeloid sarcoma, in remission"
2842,9,D6182,10,Myelophthisis
D6182,10,D6182,10,Myelophthisis
1340,9,B87,10,Myiasis
B87,10,B87,10,Myiasis
B878,10,B878,10,Myiasis of other sites
B8789,10,B878,10,Myiasis of other sites
4291,9,I515,10,Myocardial degeneration
I515,10,I515,10,Myocardial degeneration
4290,9,I514,10,"Myocarditis, unspecified"
I514,10,I514,10,"Myocarditis, unspecified"
3332,9,G253,10,Myoclonus
G253,10,G253,10,Myoclonus
7913,9,R821,10,Myoglobinuria
R821,10,R821,10,Myoglobinuria
37682,9,H0582,10,Myopathy of extraocular muscles
H0582,10,H0582,10,Myopathy of extraocular muscles
3599,9,G729,10,"Myopathy, unspecified"
G729,10,G729,10,"Myopathy, unspecified"
3671,9,H521,10,Myopia
H521,10,H521,10,Myopia
35922,9,G7112,10,Myotonia congenita
G7112,10,G7112,10,Myotonia congenita
35923,9,G7113,10,Myotonic chondrodystrophy
G7113,10,G7113,10,Myotonic chondrodystrophy
35921,9,G7111,10,Myotonic muscular dystrophy
G7111,10,G7111,10,Myotonic muscular dystrophy
30181,9,F6081,10,Narcissistic personality disorder
F6081,10,F6081,10,Narcissistic personality disorder
47811,9,J3481,10,Nasal mucositis (ulcerative)
J3481,10,J3481,10,Nasal mucositis (ulcerative)
0321,9,A361,10,Nasopharyngeal diphtheria
A361,10,A361,10,Nasopharyngeal diphtheria
4475,9,I775,10,Necrosis of artery
I775,10,I775,10,Necrosis of artery
77750,9,P779,10,"Necrotizing enterocolitis in newborn, unspecified"
P779,10,P779,10,"Necrotizing enterocolitis in newborn, unspecified"
72886,9,M726,10,Necrotizing fasciitis
M726,10,M726,10,Necrotizing fasciitis
77981,9,P2912,10,Neonatal bradycardia
P2912,10,P2912,10,Neonatal bradycardia
7716,9,P391,10,Neonatal conjunctivitis and dacryocystitis
P391,10,P391,10,Neonatal conjunctivitis and dacryocystitis
7751,9,P702,10,Neonatal diabetes mellitus
P702,10,P702,10,Neonatal diabetes mellitus
7715,9,P390,10,Neonatal infective mastitis
P390,10,P390,10,Neonatal infective mastitis
7742,9,P590,10,Neonatal jaundice associated with preterm delivery
P590,10,P590,10,Neonatal jaundice associated with preterm delivery
77982,9,P2911,10,Neonatal tachycardia
P2911,10,P2911,10,Neonatal tachycardia
2372,9,D441,10,Neoplasm of uncertain behavior of adrenal gland
D441,10,D441,10,Neoplasm of uncertain behavior of adrenal gland
2367,9,D414,10,Neoplasm of uncertain behavior of bladder
D414,10,D414,10,Neoplasm of uncertain behavior of bladder
2380,9,D480,10,Neoplasm of uncertain behavior of bone and articular cartilage
D480,10,D480,10,Neoplasm of uncertain behavior of bone and articular cartilage
2383,9,D486,10,Neoplasm of uncertain behavior of breast
D486,10,D486,10,Neoplasm of uncertain behavior of breast
2381,9,D481,10,Neoplasm of uncertain behavior of connective and other soft tissue
D481,10,D481,10,Neoplasm of uncertain behavior of connective and other soft tissue
2356,9,D380,10,Neoplasm of uncertain behavior of larynx
D380,10,D380,10,Neoplasm of uncertain behavior of larynx
2376,9,D42,10,Neoplasm of uncertain behavior of meninges
D42,10,D42,10,Neoplasm of uncertain behavior of meninges
2388,9,D487,10,Neoplasm of uncertain behavior of other specified sites
D487,10,D487,10,Neoplasm of uncertain behavior of other specified sites
2362,9,D391,10,Neoplasm of uncertain behavior of ovary
D391,10,D391,10,Neoplasm of uncertain behavior of ovary
2371,9,D445,10,Neoplasm of uncertain behavior of pineal gland
D445,10,D445,10,Neoplasm of uncertain behavior of pineal gland
2361,9,D392,10,Neoplasm of uncertain behavior of placenta
D392,10,D392,10,Neoplasm of uncertain behavior of placenta
2365,9,D400,10,Neoplasm of uncertain behavior of prostate
D400,10,D400,10,Neoplasm of uncertain behavior of prostate
2382,9,D485,10,Neoplasm of uncertain behavior of skin
D485,10,D485,10,Neoplasm of uncertain behavior of skin
2364,9,D401,10,Neoplasm of uncertain behavior of testis
D401,10,D401,10,Neoplasm of uncertain behavior of testis
2360,9,D390,10,Neoplasm of uncertain behavior of uterus
D390,10,D390,10,Neoplasm of uncertain behavior of uterus
D498,10,D498,10,Neoplasm of unspecified behavior of other specified sites
D4989,10,D498,10,Neoplasm of unspecified behavior of other specified sites
3383,9,G893,10,Neoplasm related pain (acute) (chronic)
G893,10,G893,10,Neoplasm related pain (acute) (chronic)
5881,9,N251,10,Nephrogenic diabetes insipidus
N251,10,N251,10,Nephrogenic diabetes insipidus
N141,10,N141,10,"Nephropathy induced by other drugs, medicaments and biological substances"
N1419,10,N141,10,"Nephropathy induced by other drugs, medicaments and biological substances"
5930,9,N2883,10,Nephroptosis
N2883,10,N2883,10,Nephroptosis
7992,9,R450,10,Nervousness
79921,9,R450,10,Nervousness
R450,10,R450,10,Nervousness
3535,9,G545,10,Neuralgic amyotrophy
G545,10,G545,10,Neuralgic amyotrophy
51661,9,J84841,10,Neuroendocrine cell hyperplasia of infancy
J84841,10,J84841,10,Neuroendocrine cell hyperplasia of infancy
23770,9,Q8500,10,"Neurofibromatosis, unspecified"
Q8500,10,Q8500,10,"Neurofibromatosis, unspecified"
7818,9,R414,10,Neurologic neglect syndrome
R414,10,R414,10,Neurologic neglect syndrome
99761,9,T873,10,Neuroma of amputation stump
T873,10,T873,10,Neuroma of amputation stump
0949,9,A523,10,"Neurosyphilis, unspecified"
A523,10,A523,10,"Neurosyphilis, unspecified"
37035,9,H1623,10,Neurotrophic keratoconjunctivitis
H1623,10,H1623,10,Neurotrophic keratoconjunctivitis
28804,9,D703,10,Neutropenia due to infection
D703,10,D703,10,Neutropenia due to infection
28800,9,D709,10,"Neutropenia, unspecified"
D709,10,D709,10,"Neutropenia, unspecified"
28953,9,D7381,10,Neutropenic splenomegaly
D7381,10,D7381,10,Neutropenic splenomegaly
4481,9,I781,10,"Nevus, non-neoplastic"
I781,10,I781,10,"Nevus, non-neoplastic"
P008,10,P008,10,Newborn affected by other maternal conditions
P0089,10,P008,10,Newborn affected by other maternal conditions
P041,10,P041,10,Newborn affected by other maternal medication
P0418,10,P041,10,Newborn affected by other maternal medication
P048,10,P048,10,Newborn affected by other maternal noxious substances
P0489,10,P048,10,Newborn affected by other maternal noxious substances
P038,10,P038,10,Newborn affected by other specified complications of labor and delivery
P0389,10,P038,10,Newborn affected by other specified complications of labor and delivery
27913,9,D814,10,Nezelof's syndrome
D814,10,D814,10,Nezelof's syndrome
F17,10,F17,10,Nicotine dependence
F172,10,F17,10,Nicotine dependence
78843,9,R351,10,Nocturia
R351,10,R351,10,Nocturia
78836,9,N3944,10,Nocturnal enuresis
N3944,10,N3944,10,Nocturnal enuresis
37902,9,H1512,10,Nodular episcleritis
H1512,10,H1512,10,Nodular episcleritis
H833,10,H833,10,Noise effects on inner ear
H833X,10,H833,10,Noise effects on inner ear
99977,9,T80A10,10,Non-ABO incompatibility with acute hemolytic transfusion reaction
T80A10,10,T80A10,10,Non-ABO incompatibility with acute hemolytic transfusion reaction
99978,9,T80A11,10,Non-ABO incompatibility with delayed hemolytic transfusion reaction
T80A11,10,T80A11,10,Non-ABO incompatibility with delayed hemolytic transfusion reaction
52456,9,M2656,10,Non-working side interference
M2656,10,M2656,10,Non-working side interference
S6234,10,S6234,10,Nondisplaced fracture of base of other metacarpal bone
S62348,10,S6234,10,Nondisplaced fracture of base of other metacarpal bone
S6236,10,S6236,10,Nondisplaced fracture of neck of other metacarpal bone
S62368,10,S6236,10,Nondisplaced fracture of neck of other metacarpal bone
S6235,10,S6235,10,Nondisplaced fracture of shaft of other metacarpal bone
S62358,10,S6235,10,Nondisplaced fracture of shaft of other metacarpal bone
3220,9,G030,10,Nonpyogenic meningitis
G030,10,G030,10,Nonpyogenic meningitis
2892,9,I880,10,Nonspecific mesenteric lymphadenitis
I880,10,I880,10,Nonspecific mesenteric lymphadenitis
79552,9,R7612,10,Nonspecific reaction to cell mediated immunity measurement of gamma interferon antigen response without active tuberculosis
R7612,10,R7612,10,Nonspecific reaction to cell mediated immunity measurement of gamma interferon antigen response without active tuberculosis
7955,9,R7611,10,Nonspecific reaction to tuberculin skin test without active tuberculosis
79551,9,R7611,10,Nonspecific reaction to tuberculin skin test without active tuberculosis
R7611,10,R7611,10,Nonspecific reaction to tuberculin skin test without active tuberculosis
2411,9,E042,10,Nontoxic multinodular goiter
E042,10,E042,10,Nontoxic multinodular goiter
72973,9,M79A3,10,Nontraumatic compartment syndrome of abdomen
M79A3,10,M79A3,10,Nontraumatic compartment syndrome of abdomen
72972,9,M79A2,10,Nontraumatic compartment syndrome of lower extremity
M79A2,10,M79A2,10,Nontraumatic compartment syndrome of lower extremity
72979,9,M79A9,10,Nontraumatic compartment syndrome of other sites
M79A9,10,M79A9,10,Nontraumatic compartment syndrome of other sites
72971,9,M79A1,10,Nontraumatic compartment syndrome of upper extremity
M79A1,10,M79A1,10,Nontraumatic compartment syndrome of upper extremity
4320,9,I621,10,Nontraumatic extradural hemorrhage
I621,10,I621,10,Nontraumatic extradural hemorrhage
72992,9,M7981,10,Nontraumatic hematoma of soft tissue
M7981,10,M7981,10,Nontraumatic hematoma of soft tissue
8322,9,S5303,10,Nursemaid's elbow
S5303,10,S5303,10,Nursemaid's elbow
261,9,E41,10,Nutritional marasmus
E41,10,E41,10,Nutritional marasmus
37733,9,H462,10,Nutritional optic neuropathy
H462,10,H462,10,Nutritional optic neuropathy
27800,9,E669,10,"Obesity, unspecified"
E669,10,E669,10,"Obesity, unspecified"
3014,9,F605,10,Obsessive-compulsive personality disorder
F605,10,F605,10,Obsessive-compulsive personality disorder
5762,9,K831,10,Obstruction of bile duct
K831,10,K831,10,Obstruction of bile duct
5752,9,K820,10,Obstruction of gallbladder
K820,10,K820,10,Obstruction of gallbladder
3314,9,G911,10,Obstructive hydrocephalus
G911,10,G911,10,Obstructive hydrocephalus
V698,10,V698,10,Occupant (driver) (passenger) of heavy transport vehicle injured in other specified transport accidents
V6988,10,V698,10,Occupant (driver) (passenger) of heavy transport vehicle injured in other specified transport accidents
V598,10,V598,10,Occupant (driver) (passenger) of pick-up truck or van injured in other specified transport accidents
V5988,10,V598,10,Occupant (driver) (passenger) of pick-up truck or van injured in other specified transport accidents
V398,10,V398,10,Occupant (driver) (passenger) of three-wheeled motor vehicle injured in other specified transport accidents
V3989,10,V398,10,Occupant (driver) (passenger) of three-wheeled motor vehicle injured in other specified transport accidents
Z573,10,Z573,10,Occupational exposure to other air contaminants
Z5739,10,Z573,10,Occupational exposure to other air contaminants
36504,9,H4005,10,Ocular hypertension
H4005,10,H4005,10,Ocular hypertension
78193,9,R29891,10,Ocular torticollis
R29891,10,R29891,10,Ocular torticollis
0213,9,A211,10,Oculoglandular tularemia
A211,10,A211,10,Oculoglandular tularemia
412,9,I252,10,Old myocardial infarction
I252,10,I252,10,Old myocardial infarction
72633,9,M702,10,Olecranon bursitis
M702,10,M702,10,Olecranon bursitis
6061,9,N461,10,Oligospermia
N461,10,N461,10,Oligospermia
0651,9,A981,10,Omsk hemorrhagic fever
A981,10,A981,10,Omsk hemorrhagic fever
1253,9,B73,10,Onchocerciasis
B73,10,B73,10,Onchocerciasis
36505,9,H4002,10,"Open angle with borderline findings, high risk"
H4002,10,H4002,10,"Open angle with borderline findings, high risk"
36501,9,H4001,10,"Open angle with borderline findings, low risk"
H4001,10,H4001,10,"Open angle with borderline findings, low risk"
52424,9,M26220,10,Open anterior occlusal relationship
M26220,10,M26220,10,Open anterior occlusal relationship
52425,9,M26221,10,Open posterior occlusal relationship
M26221,10,M26221,10,Open posterior occlusal relationship
36014,9,H1624,10,Ophthalmia nodosa
H1624,10,H1624,10,Ophthalmia nodosa
F1118,10,F1118,10,Opioid abuse with other opioid-induced disorder
F11188,10,F1118,10,Opioid abuse with other opioid-induced disorder
30553,9,F1111,10,"Opioid abuse, in remission"
F1111,10,F1111,10,"Opioid abuse, in remission"
F1128,10,F1128,10,Opioid dependence with other opioid-induced disorder
F11288,10,F1128,10,Opioid dependence with other opioid-induced disorder
1210,9,B660,10,Opisthorchiasis
B660,10,B660,10,Opisthorchiasis
31381,9,F913,10,Oppositional defiant disorder
F913,10,F913,10,Oppositional defiant disorder
37743,9,H4703,10,Optic nerve hypoplasia
H4703,10,H4703,10,Optic nerve hypoplasia
37731,9,H460,10,Optic papillitis
H460,10,H460,10,Optic papillitis
37612,9,H0512,10,Orbital myositis
H0512,10,H0512,10,Orbital myositis
78602,9,R0601,10,Orthopnea
R0601,10,R0601,10,Orthopnea
