icd_code,icd_version,long_title
D441,10,Neoplasm of uncertain behavior of adrenal gland
2367,9,Neoplasm of uncertain behavior of bladder
D414,10,Neoplasm of uncertain behavior of bladder
2380,9,Neoplasm of uncertain behavior of bone and articular cartilage
D480,10,Neoplasm of uncertain behavior of bone and articular cartilage
2383,9,Neoplasm of uncertain behavior of breast
D486,10,Neoplasm of uncertain behavior of breast
2381,9,Neoplasm of uncertain behavior of connective and other soft tissue
D481,10,Neoplasm of uncertain behavior of connective and other soft tissue
2356,9,Neoplasm of uncertain behavior of larynx
D380,10,Neoplasm of uncertain behavior of larynx
2376,9,Neoplasm of uncertain behavior of meninges
D42,10,Neoplasm of uncertain behavior of meninges
2388,9,Neoplasm of uncertain behavior of other specified sites
D487,10,Neoplasm of uncertain behavior of other specified sites
2362,9,Neoplasm of uncertain behavior of ovary
D391,10,Neoplasm of uncertain behavior of ovary
2371,9,Neoplasm of uncertain behavior of pineal gland
D445,10,Neoplasm of uncertain behavior of pineal gland
2361,9,Neoplasm of uncertain behavior of placenta
D392,10,Neoplasm of uncertain behavior of placenta
2365,9,Neoplasm of uncertain behavior of prostate
D400,10,Neoplasm of uncertain behavior of prostate
2382,9,Neoplasm of uncertain behavior of skin
D485,10,Neoplasm of uncertain behavior of skin
2364,9,Neoplasm of uncertain behavior of testis
D401,10,Neoplasm of uncertain behavior of testis
2360,9,Neoplasm of uncertain behavior of uterus
D390,10,Neoplasm of uncertain behavior of uterus
D498,10,Neoplasm of unspecified behavior of other specified sites
D4989,10,Neoplasm of unspecified behavior of other specified sites
3383,9,Neoplasm related pain (acute) (chronic)
G893,10,Neoplasm related pain (acute) (chronic)
5881,9,Nephrogenic diabetes insipidus
N251,10,Nephrogenic diabetes insipidus
N141,10,"Nephropathy induced by other drugs, medicaments and biological substances"
N1419,10,"Nephropathy induced by other drugs, medicaments and biological substances"
5930,9,Nephroptosis
N2883,10,Nephroptosis
7992,9,Nervousness
79921,9,Nervousness
R450,10,Nervousness
3535,9,Neuralgic amyotrophy
G545,10,Neuralgic amyotrophy
51661,9,Neuroendocrine cell hyperplasia of infancy
J84841,10,Neuroendocrine cell hyperplasia of infancy
23770,9,"Neurofibromatosis, unspecified"
Q8500,10,"Neurofibromatosis, unspecified"
7818,9,Neurologic neglect syndrome
R414,10,Neurologic neglect syndrome
99761,9,Neuroma of amputation stump
T873,10,Neuroma of amputation stump
0949,9,"Neurosyphilis, unspecified"
A523,10,"Neurosyphilis, unspecified"
37035,9,Neurotrophic keratoconjunctivitis
H1623,10,Neurotrophic keratoconjunctivitis
28804,9,Neutropenia due to infection
D703,10,Neutropenia due to infection
28800,9,"Neutropenia, unspecified"
D709,10,"Neutropenia, unspecified"
28953,9,Neutropenic splenomegaly
D7381,10,Neutropenic splenomegaly
4481,9,"Nevus, non-neoplastic"
I781,10,"Nevus, non-neoplastic"
P008,10,Newborn affected by other maternal conditions
P0089,10,Newborn affected by other maternal conditions
P041,10,Newborn affected by other maternal medication
P0418,10,Newborn affected by other maternal medication
P048,10,Newborn affected by other maternal noxious substances
P0489,10,Newborn affected by other maternal noxious substances
P038,10,Newborn affected by other specified complications of labor and delivery
P0389,10,Newborn affected by other specified complications of labor and delivery
27913,9,Nezelof's syndrome
D814,10,Nezelof's syndrome
F17,10,Nicotine dependence
F172,10,Nicotine dependence
78843,9,Nocturia
R351,10,Nocturia
78836,9,Nocturnal enuresis
N3944,10,Nocturnal enuresis
37902,9,Nodular episcleritis
H1512,10,Nodular episcleritis
H833,10,Noise effects on inner ear
H833X,10,Noise effects on inner ear
99977,9,Non-ABO incompatibility with acute hemolytic transfusion reaction
T80A10,10,Non-ABO incompatibility with acute hemolytic transfusion reaction
99978,9,Non-ABO incompatibility with delayed hemolytic transfusion reaction
T80A11,10,Non-ABO incompatibility with delayed hemolytic transfusion reaction
52456,9,Non-working side interference
M2656,10,Non-working side interference
S6234,10,Nondisplaced fracture of base of other metacarpal bone
S62348,10,Nondisplaced fracture of base of other metacarpal bone
S6236,10,Nondisplaced fracture of neck of other metacarpal bone
S62368,10,Nondisplaced fracture of neck of other metacarpal bone
S6235,10,Nondisplaced fracture of shaft of other metacarpal bone
S62358,10,Nondisplaced fracture of shaft of other metacarpal bone
3220,9,Nonpyogenic meningitis
G030,10,Nonpyogenic meningitis
2892,9,Nonspecific mesenteric lymphadenitis
I880,10,Nonspecific mesenteric lymphadenitis
79552,9,Nonspecific reaction to cell mediated immunity measurement of gamma interferon antigen response without active tuberculosis
R7612,10,Nonspecific reaction to cell mediated immunity measurement of gamma interferon antigen response without active tuberculosis
7955,9,Nonspecific reaction to tuberculin skin test without active tuberculosis
79551,9,Nonspecific reaction to tuberculin skin test without active tuberculosis
R7611,10,Nonspecific reaction to tuberculin skin test without active tuberculosis
2411,9,Nontoxic multinodular goiter
E042,10,Nontoxic multinodular goiter
72973,9,Nontraumatic compartment syndrome of abdomen
M79A3,10,Nontraumatic compartment syndrome of abdomen
72972,9,Nontraumatic compartment syndrome of lower extremity
M79A2,10,Nontraumatic compartment syndrome of lower extremity
72979,9,Nontraumatic compartment syndrome of other sites
M79A9,10,Nontraumatic compartment syndrome of other sites
72971,9,Nontraumatic compartment syndrome of upper extremity
M79A1,10,Nontraumatic compartment syndrome of upper extremity
4320,9,Nontraumatic extradural hemorrhage
I621,10,Nontraumatic extradural hemorrhage
72992,9,Nontraumatic hematoma of soft tissue
M7981,10,Nontraumatic hematoma of soft tissue
8322,9,Nursemaid's elbow
S5303,10,Nursemaid's elbow
261,9,Nutritional marasmus
E41,10,Nutritional marasmus
37733,9,Nutritional optic neuropathy
H462,10,Nutritional optic neuropathy
27800,9,"Obesity, unspecified"
E669,10,"Obesity, unspecified"
3014,9,Obsessive-compulsive personality disorder
F605,10,Obsessive-compulsive personality disorder
5762,9,Obstruction of bile duct
K831,10,Obstruction of bile duct
5752,9,Obstruction of gallbladder
K820,10,Obstruction of gallbladder
3314,9,Obstructive hydrocephalus
G911,10,Obstructive hydrocephalus
V698,10,Occupant (driver) (passenger) of heavy transport vehicle injured in other specified transport accidents
V6988,10,Occupant (driver) (passenger) of heavy transport vehicle injured in other specified transport accidents
V598,10,Occupant (driver) (passenger) of pick-up truck or van injured in other specified transport accidents
V5988,10,Occupant (driver) (passenger) of pick-up truck or van injured in other specified transport accidents
V398,10,Occupant (driver) (passenger) of three-wheeled motor vehicle injured in other specified transport accidents
V3989,10,Occupant (driver) (passenger) of three-wheeled motor vehicle injured in other specified transport accidents
Z573,10,Occupational exposure to other air contaminants
Z5739,10,Occupational exposure to other air contaminants
36504,9,Ocular hypertension
H4005,10,Ocular hypertension
78193,9,Ocular torticollis
R29891,10,Ocular torticollis
0213,9,Oculoglandular tularemia
A211,10,Oculoglandular tularemia
412,9,Old myocardial infarction
I252,10,Old myocardial infarction
72633,9,Olecranon bursitis
M702,10,Olecranon bursitis
6061,9,Oligospermia
N461,10,Oligospermia
0651,9,Omsk hemorrhagic fever
A981,10,Omsk hemorrhagic fever
1253,9,Onchocerciasis
B73,10,Onchocerciasis
36505,9,"Open angle with borderline findings, high risk"
H4002,10,"Open angle with borderline findings, high risk"
36501,9,"Open angle with borderline findings, low risk"
H4001,10,"Open angle with borderline findings, low risk"
52424,9,Open anterior occlusal relationship
M26220,10,Open anterior occlusal relationship
52425,9,Open posterior occlusal relationship
M26221,10,Open posterior occlusal relationship
36014,9,Ophthalmia nodosa
H1624,10,Ophthalmia nodosa
F1118,10,Opioid abuse with other opioid-induced disorder
F11188,10,Opioid abuse with other opioid-induced disorder
30553,9,"Opioid abuse, in remission"
F1111,10,"Opioid abuse, in remission"
F1128,10,Opioid dependence with other opioid-induced disorder
F11288,10,Opioid dependence with other opioid-induced disorder
1210,9,Opisthorchiasis
B660,10,Opisthorchiasis
31381,9,Oppositional defiant disorder
F913,10,Oppositional defiant disorder
37743,9,Optic nerve hypoplasia
H4703,10,Optic nerve hypoplasia
37731,9,Optic papillitis
H460,10,Optic papillitis
37612,9,Orbital myositis
H0512,10,Orbital myositis
78602,9,Orthopnea
R0601,10,Orthopnea
4580,9,Orthostatic hypotension
I951,10,Orthostatic hypotension
52571,9,Osseointegration failure of dental implant
M2761,10,Osseointegration failure of dental implant
38161,9,Osseous obstruction of Eustachian tube
H6811,10,Osseous obstruction of Eustachian tube
7335,9,Osteitis condensans
M853,10,Osteitis condensans
M888,10,Osteitis deformans of other bones
M8888,10,Osteitis deformans of other bones
7327,9,Osteochondritis dissecans
M932,10,Osteochondritis dissecans
75651,9,Osteogenesis imperfecta
Q780,10,Osteogenesis imperfecta
M8718,10,"Osteonecrosis due to drugs, other site"
M87188,10,"Osteonecrosis due to drugs, other site"
75652,9,Osteopetrosis
Q782,10,Osteopetrosis
H932,10,Other abnormal auditory perceptions
H9329,10,Other abnormal auditory perceptions
R858,10,Other abnormal findings in specimens from digestive organs and abdominal cavity
R8589,10,Other abnormal findings in specimens from digestive organs and abdominal cavity
R878,10,Other abnormal findings in specimens from female genital organs
R8789,10,Other abnormal findings in specimens from female genital organs
R8299,10,Other abnormal findings in urine
R82998,10,Other abnormal findings in urine
R908,10,Other abnormal findings on diagnostic imaging of central nervous system
R9089,10,Other abnormal findings on diagnostic imaging of central nervous system
79029,9,Other abnormal glucose
R7309,10,Other abnormal glucose
6318,9,Other abnormal products of conception
O02,10,Other abnormal products of conception
O0289,10,Other abnormal products of conception
79589,9,Other abnormal tumor markers
R978,10,Other abnormal tumor markers
R068,10,Other abnormalities of breathing
R0689,10,Other abnormalities of breathing
R268,10,Other abnormalities of gait and mobility
R2689,10,Other abnormalities of gait and mobility
79009,9,Other abnormality of red blood cells
R718,10,Other abnormality of red blood cells
1338,9,Other acariasis
B880,10,Other acariasis
7061,9,Other acne
L708,10,Other acne
H743,10,Other acquired abnormalities of ear ossicles
H7439,10,Other acquired abnormalities of ear ossicles
M216,10,Other acquired deformities of foot
M216X,10,Other acquired deformities of foot
42299,9,Other acute myocarditis
I408,10,Other acute myocarditis
H651,10,Other acute nonsuppurative otitis media
H6519,10,Other acute nonsuppurative otitis media
3918,9,Other acute rheumatic heart disease
I018,10,Other acute rheumatic heart disease
4618,9,Other acute sinusitis
J018,10,Other acute sinusitis
J0180,10,Other acute sinusitis
9957,9,"Other adverse food reactions, not elsewhere classified"
T781,10,"Other adverse food reactions, not elsewhere classified"
H258,10,Other age-related cataract
H2589,10,Other age-related cataract
51284,9,Other air leak
J9382,10,Other air leak
V978,10,"Other air transport accidents, not elsewhere classified"
V9789,10,"Other air transport accidents, not elsewhere classified"
J308,10,Other allergic rhinitis
J3089,10,Other allergic rhinitis
27739,9,Other amyloidosis
E858,10,Other amyloidosis
E8589,10,Other amyloidosis
R82,10,Other and unspecified abnormal findings in urine
R829,10,Other and unspecified abnormal findings in urine
5229,9,Other and unspecified diseases of pulp and periapical tissues
K049,10,Other and unspecified diseases of pulp and periapical tissues
9932,9,Other and unspecified effects of high altitude
T702,10,Other and unspecified effects of high altitude
52429,9,Other anomalies of dental arch relationship
M2629,10,Other anomalies of dental arch relationship
37949,9,Other anomalies of pupillary function
H5709,10,Other anomalies of pupillary function
7523,9,Other anomalies of uterus
75239,9,Other anomalies of uterus
O468,10,Other antepartum hemorrhage
O468X,10,Other antepartum hemorrhage
77082,9,Other apnea of newborn
P284,10,Other apnea of newborn
P2849,10,Other apnea of newborn
542,9,Other appendicitis
K36,10,Other appendicitis
44409,9,Other arterial embolism and thrombosis of abdominal aorta
I7409,10,Other arterial embolism and thrombosis of abdominal aorta
V448,9,Other artificial opening status
Z938,10,Other artificial opening status
78959,9,Other ascites
R188,10,Other ascites
J4599,10,Other asthma
J45998,10,Other asthma
L208,10,Other atopic dermatitis
L2089,10,Other atopic dermatitis
Q643,10,Other atresia and stenosis of urethra and bladder neck
Q6439,10,Other atresia and stenosis of urethra and bladder neck
A818,10,Other atypical virus infections of central nervous system
A8189,10,Other atypical virus infections of central nervous system
29689,9,Other bipolar disorders
F318,10,Other bipolar disorders
P128,10,Other birth injuries to scalp
P1289,10,Other birth injuries to scalp
0238,9,Other brucellosis
A238,10,Other brucellosis
P298,10,Other cardiovascular disorders originating in the perinatal period
P2989,10,Other cardiovascular disorders originating in the perinatal period
E9088,9,Other cataclysmic storms
X378,10,Other cataclysmic storms
3668,9,Other cataract
H26,10,Other cataract
I638,10,Other cerebral infarction
I6389,10,Other cerebral infarction
37569,9,Other changes of lacrimal passages
H046,10,Other changes of lacrimal passages
H0469,10,Other changes of lacrimal passages
78659,9,Other chest pain
R078,10,Other chest pain
R0789,10,Other chest pain
A748,10,Other chlamydial diseases
A7489,10,Other chlamydial diseases
H308,10,Other chorioretinal inflammations
H3089,10,Other chorioretinal inflammations
37214,9,Other chronic allergic conjunctivitis
H1045,10,Other chronic allergic conjunctivitis
5952,9,Other chronic cystitis
N302,10,Other chronic cystitis
H654,10,Other chronic nonsuppurative otitis media
H6549,10,Other chronic nonsuppurative otitis media
33829,9,Other chronic pain
G8929,10,Other chronic pain
4738,9,Other chronic sinusitis
J328,10,Other chronic sinusitis
H663,10,Other chronic suppurative otitis media
H663X,10,Other chronic suppurative otitis media
32739,9,Other circadian rhythm sleep disorder
G4729,10,Other circadian rhythm sleep disorder
36859,9,Other color vision deficiencies
H5359,10,Other color vision deficiencies
D818,10,Other combined immunodeficiencies
D8189,10,Other combined immunodeficiencies
33944,9,Other complicated headache syndrome
G4459,10,Other complicated headache syndrome
O088,10,Other complications following an ectopic and molar pregnancy
O0889,10,Other complications following an ectopic and molar pregnancy
T808,10,"Other complications following infusion, transfusion and therapeutic injection"
T8089,10,"Other complications following infusion, transfusion and therapeutic injection"
T878,10,Other complications of amputation stump
T8789,10,Other complications of amputation stump
T885,10,Other complications of anesthesia
T8859,10,Other complications of anesthesia
O298,10,Other complications of anesthesia during pregnancy
O298X,10,Other complications of anesthesia during pregnancy
53909,9,Other complications of gastric band procedure
K9509,10,Other complications of gastric band procedure
T8629,10,Other complications of heart transplant
T86298,10,Other complications of heart transplant
56979,9,Other complications of intestinal pouch
K91858,10,Other complications of intestinal pouch
53989,9,Other complications of other bariatric procedure
K9589,10,Other complications of other bariatric procedure
T818,10,"Other complications of procedures, not elsewhere classified"
T8189,10,"Other complications of procedures, not elsewhere classified"
O295,10,Other complications of spinal and epidural anesthesia during pregnancy
O295X,10,Other complications of spinal and epidural anesthesia during pregnancy
O908,10,"Other complications of the puerperium, not elsewhere classified"
O9089,10,"Other complications of the puerperium, not elsewhere classified"
O318,10,Other complications specific to multiple gestation
O318X,10,Other complications specific to multiple gestation
Q795,10,Other congenital malformations of abdominal wall
Q7959,10,Other congenital malformations of abdominal wall
Q138,10,Other congenital malformations of anterior segment of eye
Q1389,10,Other congenital malformations of anterior segment of eye
Q254,10,Other congenital malformations of aorta
Q2549,10,Other congenital malformations of aorta
Q5182,10,Other congenital malformations of cervix
Q51828,10,Other congenital malformations of cervix
Q257,10,Other congenital malformations of pulmonary artery
Q2579,10,Other congenital malformations of pulmonary artery
Q764,10,"Other congenital malformations of spine, not associated with scoliosis"
Q7649,10,"Other congenital malformations of spine, not associated with scoliosis"
Q5181,10,Other congenital malformations of uterus
Q51818,10,Other congenital malformations of uterus
37239,9,Other conjunctivitis
H108,10,Other conjunctivitis
H1089,10,Other conjunctivitis
56409,9,Other constipation
K5909,10,Other constipation
28409,9,Other constitutional aplastic anemia
D6109,10,Other constitutional aplastic anemia
Z77,10,Other contact with and (suspected) exposures hazardous to health
Z779,10,Other contact with and (suspected) exposures hazardous to health
H178,10,Other corneal scars and opacities
H1789,10,Other corneal scars and opacities
28859,9,Other decreased white blood cell count
D72818,10,Other decreased white blood cell count
M205,10,Other deformities of toe(s) (acquired)
M205X,10,Other deformities of toe(s) (acquired)
36029,9,Other degenerative disorders of globe
H4439,10,Other degenerative disorders of globe
Q938,10,Other deletions from the autosomes
Q9389,10,Other deletions from the autosomes
Q935,10,Other deletions of part of a chromosome
Q9359,10,Other deletions of part of a chromosome
3418,9,Other demyelinating diseases of central nervous system
G37,10,Other demyelinating diseases of central nervous system
M268,10,Other dentofacial anomalies
M2689,10,Other dentofacial anomalies
52459,9,Other dentofacial functional abnormalities
M2659,10,Other dentofacial functional abnormalities
M223,10,Other derangements of patella
M223X,10,Other derangements of patella
F818,10,Other developmental disorders of scholastic skills
F8189,10,Other developmental disorders of scholastic skills
F808,10,Other developmental disorders of speech and language
F8089,10,Other developmental disorders of speech and language
R391,10,Other difficulties with micturition
R3919,10,Other difficulties with micturition
R39198,10,Other difficulties with micturition
5193,9,"Other diseases of mediastinum, not elsewhere classified"
J9859,10,"Other diseases of mediastinum, not elsewhere classified"
I28,10,Other diseases of pulmonary vessels
I288,10,Other diseases of pulmonary vessels
28959,9,Other diseases of spleen
D738,10,Other diseases of spleen
D7389,10,Other diseases of spleen
K31,10,Other diseases of stomach and duodenum
K3189,10,Other diseases of stomach and duodenum
4785,9,Other diseases of vocal cords
J383,10,Other diseases of vocal cords
H025,10,Other disorders affecting eyelid function
H0259,10,Other disorders affecting eyelid function
E708,10,Other disorders of aromatic amino-acid metabolism
E7089,10,Other disorders of aromatic amino-acid metabolism
E711,10,Other disorders of branched-chain amino-acid metabolism
E7119,10,Other disorders of branched-chain amino-acid metabolism
27549,9,Other disorders of calcium metabolism
E8359,10,Other disorders of calcium metabolism
3638,9,Other disorders of choroid
H31,10,Other disorders of choroid
37289,9,Other disorders of conjunctiva
H11,10,Other disorders of conjunctiva
38089,9,Other disorders of external ear
H61,10,Other disorders of external ear
H628,10,Other disorders of external ear in diseases classified elsewhere
H628X,10,Other disorders of external ear in diseases classified elsewhere
37489,9,Other disorders of eyelid
H02,10,Other disorders of eyelid
36089,9,Other disorders of globe
H448,10,Other disorders of globe
H4489,10,Other disorders of globe
E743,10,Other disorders of intestinal carbohydrate absorption
E7439,10,Other disorders of intestinal carbohydrate absorption
36489,9,Other disorders of iris and ciliary body
H21,10,Other disorders of iris and ciliary body
27509,9,Other disorders of iron metabolism
E8319,10,Other disorders of iron metabolism
37589,9,Other disorders of lacrimal system
H048,10,Other disorders of lacrimal system
H0489,10,Other disorders of lacrimal system
37939,9,Other disorders of lens
H27,10,Other disorders of lens
G9619,10,"Other disorders of meninges, not elsewhere classified"
G96198,10,"Other disorders of meninges, not elsewhere classified"
E838,10,Other disorders of mineral metabolism
E8389,10,Other disorders of mineral metabolism
H473,10,Other disorders of optic disc
H4739,10,Other disorders of optic disc
H058,10,Other disorders of orbit
H0589,10,Other disorders of orbit
M228,10,Other disorders of patella
M228X,10,Other disorders of patella
2772,9,Other disorders of purine and pyrimidine metabolism
E798,10,Other disorders of purine and pyrimidine metabolism
37919,9,Other disorders of sclera
H158,10,Other disorders of sclera
H1589,10,Other disorders of sclera
H818,10,Other disorders of vestibular function
H818X,10,Other disorders of vestibular function
H438,10,Other disorders of vitreous body
H4389,10,Other disorders of vitreous body
N258,10,Other disorders resulting from impaired renal tubular function
N2589,10,Other disorders resulting from impaired renal tubular function
F448,10,Other dissociative and conversion disorders
F4489,10,Other dissociative and conversion disorders
52879,9,"Other disturbances of oral epithelium, including tongue"
K1329,10,"Other disturbances of oral epithelium, including tongue"
7784,9,Other disturbances of temperature regulation of newborn
P81,10,Other disturbances of temperature regulation of newborn
M548,10,Other dorsalgia
M5489,10,Other dorsalgia
28412,9,Other drug-induced pancytopenia
D61811,10,Other drug-induced pancytopenia
78729,9,Other dysphagia
R1319,10,Other dysphagia
36275,9,Other dystrophies primarily involving the sensory retina
H3553,10,Other dystrophies primarily involving the sensory retina
9588,9,Other early complications of trauma
T798,10,Other early complications of trauma
1022,9,Other early skin lesions of yaws
A662,10,Other early skin lesions of yaws
63381,9,Other ectopic pregnancy with intrauterine pregnancy
O0081,10,Other ectopic pregnancy with intrauterine pregnancy
63380,9,Other ectopic pregnancy without intrauterine pregnancy
O0080,10,Other ectopic pregnancy without intrauterine pregnancy
08249,9,Other ehrlichiosis
A7749,10,Other ehrlichiosis
28869,9,Other elevated white blood cell count
D72828,10,Other elevated white blood cell count
4928,9,Other emphysema
J438,10,Other emphysema
34839,9,Other encephalopathy
G9349,10,Other encephalopathy
36019,9,Other endophthalmitis
H441,10,Other endophthalmitis
H4419,10,Other endophthalmitis
52579,9,Other endosseous dental implant failure
M2769,10,Other endosseous dental implant failure
69519,9,Other erythema multiforme
L518,10,Other erythema multiforme
53019,9,Other esophagitis
K208,10,Other esophagitis
E0008,9,Other external cause status
Y998,10,Other external cause status
W17,10,Other fall from one level to another
W178,10,Other fall from one level to another
W1789,10,Other fall from one level to another
Y074,10,"Other family member, perpetrator of maltreatment and neglect"
Y0749,10,"Other family member, perpetrator of maltreatment and neglect"
Y07499,10,"Other family member, perpetrator of maltreatment and neglect"
62929,9,Other female genital mutilation status
N90818,10,Other female genital mutilation status
N818,10,Other female genital prolapse
N8189,10,Other female genital prolapse
27669,9,Other fluid overload
E8779,10,Other fluid overload
A428,10,Other forms of actinomycosis
A4289,10,Other forms of actinomycosis
B448,10,Other forms of aspergillosis
B4489,10,Other forms of aspergillosis
B408,10,Other forms of blastomycosis
B4089,10,Other forms of blastomycosis
I258,10,Other forms of chronic ischemic heart disease
I2589,10,Other forms of chronic ischemic heart disease
B388,10,Other forms of coccidioidomycosis
B3889,10,Other forms of coccidioidomycosis
A278,10,Other forms of leptospirosis
A2789,10,Other forms of leptospirosis
A328,10,Other forms of listeriosis
A3289,10,Other forms of listeriosis
37956,9,Other forms of nystagmus
H5509,10,Other forms of nystagmus
B428,10,Other forms of sporotrichosis
B4289,10,Other forms of sporotrichosis
S728,10,Other fracture of femur
S728X,10,Other fracture of femur
S6239,10,Other fracture of other metacarpal bone
S62398,10,Other fracture of other metacarpal bone
S828,10,Other fractures of lower leg
S8289,10,Other fractures of lower leg
R68,10,Other general symptoms and signs
R688,10,Other general symptoms and signs
R6889,10,Other general symptoms and signs
A548,10,Other gonococcal infections
A5489,10,Other gonococcal infections
33989,9,Other headache syndromes
G44,10,Other headache syndromes
I508,10,Other heart failure
I5089,10,Other heart failure
27503,9,Other hemochromatosis
E83118,10,Other hemochromatosis
2827,9,Other hemoglobinopathies
D582,10,Other hemoglobinopathies
28659,9,"Other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
D68318,10,"Other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
05829,9,Other human herpesvirus encephalitis
B100,10,Other human herpesvirus encephalitis
B1009,10,Other human herpesvirus encephalitis
05889,9,Other human herpesvirus infection
B108,10,Other human herpesvirus infection
B1089,10,Other human herpesvirus infection
E268,10,Other hyperaldosteronism
E2689,10,Other hyperaldosteronism
2788,9,Other hyperalimentation
E67,10,Other hyperalimentation
E784,10,Other hyperlipidemia
E7849,10,Other hyperlipidemia
25208,9,Other hyperparathyroidism
E212,10,Other hyperparathyroidism
42518,9,Other hypertrophic cardiomyopathy
I422,10,Other hypertrophic cardiomyopathy
I958,10,Other hypotension
I9589,10,Other hypotension
7783,9,Other hypothermia of newborn
P808,10,Other hypothermia of newborn
33709,9,Other idiopathic peripheral autonomic neuropathy
G9009,10,Other idiopathic peripheral autonomic neuropathy
42989,9,Other ill-defined heart diseases
I518,10,Other ill-defined heart diseases
I5189,10,Other ill-defined heart diseases
D84,10,Other immunodeficiencies
D8489,10,Other immunodeficiencies
56039,9,Other impaction of intestine
K564,10,Other impaction of intestine
K5649,10,Other impaction of intestine
F638,10,Other impulse disorders
F6389,10,Other impulse disorders
O861,10,Other infection of genital tract following delivery
O8619,10,Other infection of genital tract following delivery
77189,9,Other infections specific to the perinatal period
P39,10,Other infections specific to the perinatal period
H603,10,Other infective otitis externa
H6039,10,Other infective otitis externa
6072,9,Other inflammatory disorders of penis
N482,10,Other inflammatory disorders of penis
N4829,10,Other inflammatory disorders of penis
G618,10,Other inflammatory polyneuropathies
G6189,10,Other inflammatory polyneuropathies
72089,9,Other inflammatory spondylopathies
M46,10,Other inflammatory spondylopathies
S058,10,Other injuries of eye and orbit
S058X,10,Other injuries of eye and orbit
M238,10,Other internal derangements of knee
M238X,10,Other internal derangements of knee
37059,9,Other interstitial and deep keratitis
H1639,10,Other interstitial and deep keratitis
51669,9,Other interstitial lung diseases of childhood
J8484,10,Other interstitial lung diseases of childhood
J84848,10,Other interstitial lung diseases of childhood
J8417,10,Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere
J84178,10,Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere
K908,10,Other intestinal malabsorption
K9089,10,Other intestinal malabsorption
36217,9,Other intraretinal microvascular abnormalities
H3509,10,Other intraretinal microvascular abnormalities
36459,9,Other iris atrophy
H2129,10,Other iris atrophy
H558,10,Other irregular eye movements
H5589,10,Other irregular eye movements
7326,9,Other juvenile osteochondrosis
M92,10,Other juvenile osteochondrosis
37049,9,Other keratoconjunctivitis
H1629,10,Other keratoconjunctivitis
R27,10,Other lack of coordination
R278,10,Other lack of coordination
0905,9,"Other late congenital syphilis, symptomatic"
A505,10,"Other late congenital syphilis, symptomatic"
A5059,10,"Other late congenital syphilis, symptomatic"
36844,9,Other localized visual field defect
H5345,10,Other localized visual field defect
Z798,10,Other long term (current) drug therapy
Z7989,10,Other long term (current) drug therapy
Z79899,10,Other long term (current) drug therapy
5948,9,Other lower urinary tract calculus
N218,10,Other lower urinary tract calculus
20482,9,"Other lymphoid leukemia, in relapse"
C91Z2,10,"Other lymphoid leukemia, in relapse"
20481,9,"Other lymphoid leukemia, in remission"
C91Z1,10,"Other lymphoid leukemia, in remission"
78079,9,Other malaise and fatigue
R538,10,Other malaise and fatigue
N53,10,Other male sexual dysfunction
N538,10,Other male sexual dysfunction
2648,9,Other manifestations of vitamin A deficiency
E508,10,Other manifestations of vitamin A deficiency
1027,9,Other manifestations of yaws
A667,10,Other manifestations of yaws
H722,10,Other marginal perforations of tympanic membrane
H722X,10,Other marginal perforations of tympanic membrane
H708,10,Other mastoiditis and related conditions
H7089,10,Other mastoiditis and related conditions
T8429,10,Other mechanical complication of internal fixation device of other bones
T84298,10,Other mechanical complication of internal fixation device of other bones
T8439,10,"Other mechanical complication of other bone devices, implants and grafts"
T84398,10,"Other mechanical complication of other bone devices, implants and grafts"
T8259,10,Other mechanical complication of other cardiac and vascular devices and implants
T82598,10,Other mechanical complication of other cardiac and vascular devices and implants
T8449,10,"Other mechanical complication of other internal orthopedic devices, implants and grafts"
T84498,10,"Other mechanical complication of other internal orthopedic devices, implants and grafts"
T8539,10,"Other mechanical complication of other ocular prosthetic devices, implants and grafts"
T85398,10,"Other mechanical complication of other ocular prosthetic devices, implants and grafts"
T8349,10,"Other mechanical complication of other prosthetic devices, implants and grafts of genital tract"
T83498,10,"Other mechanical complication of other prosthetic devices, implants and grafts of genital tract"
T8569,10,"Other mechanical complication of other specified internal prosthetic devices, implants and grafts"
T85698,10,"Other mechanical complication of other specified internal prosthetic devices, implants and grafts"
T8319,10,Other mechanical complication of other urinary devices and implants
T83198,10,Other mechanical complication of other urinary devices and implants
T8239,10,Other mechanical complication of other vascular grafts
T82398,10,Other mechanical complication of other vascular grafts
Y84,10,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y848,10,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
A398,10,Other meningococcal infections
A3989,10,Other meningococcal infections
75833,9,Other microdeletions
Q9388,10,Other microdeletions
R312,10,Other microscopic hematuria
R3129,10,Other microscopic hematuria
20682,9,"Other monocytic leukemia, in relapse"
C93Z2,10,"Other monocytic leukemia, in relapse"
20681,9,"Other monocytic leukemia, in remission"
C93Z1,10,"Other monocytic leukemia, in remission"
33529,9,Other motor neuron disease
G1229,10,Other motor neuron disease
